AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
26894,20181130.0,1.0,Jump Shot,2.0,-119.0,51.0,2.0,1.0
27024,20181020.0,0.0,Pullup Jump shot,2.0,30.0,104.0,2.0,1.0
27071,20181030.0,1.0,Pullup Jump shot,2.0,6.0,18.0,2.0,1.0
27092,20181102.0,1.0,Pullup Jump shot,2.0,49.0,112.0,2.0,1.0
27197,20181121.0,1.0,Jump Shot,2.0,93.0,42.0,2.0,1.0
27219,20181123.0,0.0,Pullup Jump shot,2.0,6.0,180.0,2.0,1.0
27257,20181206.0,0.0,Fadeaway Jump Shot,2.0,-18.0,140.0,2.0,1.0
27485,20190227.0,0.0,Pullup Jump shot,2.0,78.0,91.0,2.0,1.0
27588,20190320.0,1.0,Pullup Jump shot,2.0,95.0,73.0,2.0,1.0
27606,20190322.0,0.0,Driving Floating Jump Shot,2.0,61.0,34.0,2.0,1.0
27660,20190330.0,0.0,Pullup Jump shot,2.0,-22.0,178.0,2.0,1.0
27690,20190403.0,1.0,Fadeaway Jump Shot,2.0,67.0,88.0,2.0,1.0
27911,20181025.0,1.0,Fadeaway Jump Shot,2.0,44.0,99.0,2.0,1.0
27983,20181103.0,0.0,Driving Floating Bank Jump Shot,2.0,-46.0,60.0,2.0,1.0
27994,20181103.0,1.0,Step Back Jump shot,2.0,-67.0,106.0,2.0,1.0
28004,20181104.0,1.0,Driving Floating Bank Jump Shot,2.0,-23.0,4.0,2.0,1.0
28015,20181106.0,0.0,Pullup Jump shot,2.0,-112.0,136.0,2.0,1.0
28022,20181106.0,1.0,Pullup Jump shot,2.0,-79.0,141.0,2.0,1.0
28027,20181106.0,1.0,Fadeaway Jump Shot,2.0,100.0,7.0,2.0,1.0
28067,20181111.0,0.0,Pullup Jump shot,2.0,100.0,157.0,2.0,1.0
28085,20181114.0,0.0,Hook Shot,2.0,3.0,54.0,2.0,1.0
28139,20181120.0,1.0,Jump Shot,2.0,122.0,183.0,2.0,1.0
28155,20181121.0,1.0,Fadeaway Jump Shot,2.0,-105.0,115.0,2.0,1.0
28239,20181130.0,0.0,Jump Shot,2.0,204.0,46.0,2.0,1.0
28244,20181202.0,0.0,Step Back Jump shot,2.0,0.0,139.0,2.0,1.0
28321,20181212.0,1.0,Driving Floating Jump Shot,2.0,34.0,85.0,2.0,1.0
28334,20181212.0,1.0,Driving Floating Bank Jump Shot,2.0,108.0,13.0,2.0,1.0
28344,20181214.0,0.0,Driving Floating Jump Shot,2.0,31.0,78.0,2.0,1.0
28487,20181230.0,0.0,Jump Bank Shot,2.0,76.0,27.0,2.0,1.0
28506,20190101.0,1.0,Driving Hook Shot,2.0,3.0,59.0,2.0,1.0
28554,20190107.0,0.0,Pullup Jump shot,2.0,62.0,148.0,2.0,1.0
28582,20190109.0,1.0,Step Back Jump shot,2.0,-183.0,10.0,2.0,1.0
28594,20190111.0,1.0,Driving Floating Jump Shot,2.0,3.0,47.0,2.0,1.0
28656,20190118.0,1.0,Pullup Jump shot,2.0,49.0,183.0,2.0,1.0
28663,20190121.0,0.0,Pullup Jump shot,2.0,5.0,143.0,2.0,1.0
28744,20190130.0,1.0,Driving Floating Jump Shot,2.0,3.0,16.0,2.0,1.0
28773,20190205.0,0.0,Step Back Jump shot,2.0,103.0,157.0,2.0,1.0
28861,20190221.0,1.0,Jump Shot,2.0,101.0,137.0,2.0,1.0
28921,20190227.0,0.0,Driving Floating Jump Shot,2.0,-81.0,88.0,2.0,1.0
28932,20190301.0,0.0,Driving Floating Jump Shot,2.0,-13.0,17.0,2.0,1.0
29001,20190309.0,1.0,Pullup Jump shot,2.0,57.0,218.0,2.0,1.0
29026,20190312.0,1.0,Pullup Jump shot,2.0,81.0,138.0,2.0,1.0
29468,20181030.0,0.0,Jump Shot,2.0,4.0,58.0,2.0,1.0
29590,20181123.0,0.0,Hook Shot,2.0,27.0,103.0,2.0,1.0
29647,20181130.0,1.0,Hook Shot,2.0,25.0,67.0,2.0,1.0
30172,20181027.0,0.0,Floating Jump shot,2.0,66.0,40.0,2.0,1.0
30192,20181106.0,0.0,Floating Jump shot,2.0,65.0,102.0,2.0,1.0
30252,20181123.0,0.0,Driving Floating Jump Shot,2.0,43.0,24.0,2.0,1.0
30271,20181128.0,1.0,Floating Jump shot,2.0,42.0,75.0,2.0,1.0
30444,20190303.0,0.0,Pullup Jump shot,2.0,-57.0,113.0,2.0,1.0
30485,20181017.0,0.0,Pullup Jump shot,2.0,-141.0,148.0,2.0,1.0
30489,20181019.0,0.0,Jump Shot,2.0,-8.0,153.0,2.0,1.0
30494,20181019.0,0.0,Jump Shot,2.0,126.0,119.0,2.0,1.0
30516,20181025.0,0.0,Driving Floating Jump Shot,2.0,-117.0,32.0,2.0,1.0
30521,20181025.0,1.0,Pullup Jump shot,2.0,67.0,159.0,2.0,1.0
30590,20181110.0,0.0,Jump Shot,2.0,5.0,169.0,2.0,1.0
30619,20181114.0,0.0,Pullup Jump shot,2.0,8.0,115.0,2.0,1.0
30631,20181119.0,1.0,Pullup Jump shot,2.0,73.0,168.0,2.0,1.0
30662,20181123.0,0.0,Pullup Jump shot,2.0,-128.0,107.0,2.0,1.0
30670,20181123.0,0.0,Jump Shot,2.0,-6.0,56.0,2.0,1.0
30687,20181124.0,0.0,Pullup Jump shot,2.0,116.0,146.0,2.0,1.0
30699,20181126.0,1.0,Pullup Jump shot,2.0,-158.0,100.0,2.0,1.0
